strain	gisaid_epi_isl
USA/CA-SEARCH-9523/2021	EPI_ISL_1969400
USA/CA-SEARCH-9535/2021	EPI_ISL_1969411
USA/CA-SEARCH-9542/2021	EPI_ISL_1969418
USA/CA-Stanford-20_S38/2021	EPI_ISL_2477504
USA/CO-CDC-ASC210010809/2021	EPI_ISL_1562908
USA/CO-CDC-LC0052721/2021	EPI_ISL_1930907
USA/CO-CDC-LC0056279/2021	EPI_ISL_2046619
USA/CO-CDC-LC0058870/2021	EPI_ISL_2184982
USA/CT-JAX-JAX000607/2021	EPI_ISL_1470709
USA/CT-JAX-JAX000820/2021	EPI_ISL_1625626
USA/CT-JAX-JAX000845/2021	EPI_ISL_1625627
USA/CT-Yale-4433/2021	EPI_ISL_2023112
USA/FL-BPHL-2550/2021	EPI_ISL_2008569
USA/FL-BPHL-3969/2021	EPI_ISL_2443030
USA/FL-BPHL-3970/2021	EPI_ISL_2443031
USA/FL-CDC-ASC210002036/2021	EPI_ISL_2243199
USA/FL-CDC-ASC210011246/2021	EPI_ISL_1649538
USA/FL-CDC-ASC210031988/2021	EPI_ISL_2090008
USA/FL-CDC-ASC210032780/2021	EPI_ISL_2090166
USA/FL-CDC-ASC210037952/2021	EPI_ISL_2148134
USA/FL-CDC-ASC210038199/2021	EPI_ISL_2147834
USA/FL-CDC-ASC210055540/2021	EPI_ISL_1996700
USA/FL-CDC-ASC210066282/2021	EPI_ISL_2370661
USA/FL-CDC-ASC210066416/2021	EPI_ISL_2489338
USA/FL-CDC-ASC210073139/2021	EPI_ISL_2202297
USA/FL-CDC-ASC210108276/2021	EPI_ISL_2687123
USA/FL-CDC-LC0019951/2021	EPI_ISL_1221135
USA/FL-CDC-LC0026661/2021	EPI_ISL_1339300
USA/FL-CDC-LC0037797/2021	EPI_ISL_1610990
USA/FL-CDC-LC0047255/2021	EPI_ISL_1801258
USA/FL-CDC-LC0051943/2021	EPI_ISL_1929653
USA/FL-CDC-LC0062610/2021	EPI_ISL_2399333
